province,POLY_ID,ln_gdppc2001,ln_gdppc2017,growth,an_growth,club_name,club,high_club,id,inv_share2001,invpc2001,labor_share_2001,edu2001,agri_change,min_change,manu_change,const_change,serv_change,agri2001,min2001,manu2001,const2001,serv2001,pop_growth,manu_emp_share_change,CRED_DIST,CONST_CHG1,COORD_X,COORD_Y
Maluku,21,   9.182146638000001,   9.676649685999999,   0.494503048000000,   0.030906441000000,Poor,4,2,31,   6.170000000000000,   0.600000000000000,   0.710000000000000,  53.600000000000001,  -7.470000000000000,  -0.550000000000000,  -0.400000000000000,   2.080000000000000,   6.340000000000000,  31.050000000000001,   3.580000000000000,   5.790000000000000,   5.330000000000000,  54.240000000000002,   1.270000000000000,   6.100000000000000,   0.270000000000000,   5.620000000000000, 129.849346112233434,  -4.736906206604527
West Nusa Tenggara,22,   9.329367078000001,   9.857391257000000,   0.528024178000000,   0.033001511000000,Poor,4,2,18,  12.770000000000000,   1.440000000000000,   6.480000000000000,  34.240000000000002,  -3.450000000000000, -10.550000000000001,   0.510000000000000,   2.970000000000000,  10.520000000000000,  25.510000000000002,  31.289999999999999,   3.930000000000000,   6.760000000000000,  32.500000000000000,   1.360000000000000,  -3.270000000000000,   0.860000000000000,   3.340000000000000, 117.510278758686312,  -8.602675608351802
East Nusa Tenggara,23,   8.876544551000000,   9.382190629000000,   0.505646078000000,   0.031602880000000,Poor,4,2,19,  18.730000000000000,   1.340000000000000,   4.140000000000000,  19.949999999999999, -10.859999999999999,  -0.170000000000000,  -0.160000000000000,  -0.930000000000000,  12.109999999999999,  38.430000000000000,   1.600000000000000,   1.440000000000000,  12.000000000000000,  46.530000000000001,   1.410000000000000,  -0.120000000000000,   0.570000000000000,   3.330000000000000, 122.180215460140701,  -9.259291764731264
Papua,24,  10.750663980000001,  10.727202360000000,  -0.023461614000000,  -0.001466351000000,LowerMiddle,3,2,34,   6.830000000000000,   3.190000000000000,   1.840000000000000,  25.760000000000002,   4.480000000000000, -39.460000000000001,   0.750000000000000,   9.020000000000000,  25.199999999999999,   6.320000000000000,  81.230000000000004,   1.180000000000000,   1.960000000000000,   9.300000000000001,   1.430000000000000,  -2.930000000000000,   0.580000000000000,   7.540000000000000, 138.660552696301295,  -4.645285767450872
Riau,25,  11.140251790000001,  11.167699020000001,   0.027447229000000,   0.001715452000000,UpperMiddle,2,1,4,  12.029999999999999,   8.279999999999999,   4.280000000000000,  35.609999999999999,   3.460000000000000, -24.289999999999999,   8.500000000000000,   3.300000000000000,   9.039999999999999,  21.850000000000001,  44.969999999999999,  21.210000000000001,   4.890000000000000,   7.090000000000000,   1.520000000000000,  -2.740000000000000,   1.960000000000000,   5.740000000000000, 101.807422872950113,   0.505403316378008
West Sulawesi,26,   9.228769507000001,  10.001566620000000,   0.772797115000000,   0.048299820000000,LowerMiddle,3,2,28,   3.150000000000000,   0.920000000000000,   1.960000000000000,  24.879999999999999, -15.590000000000000,   1.080000000000000,   4.090000000000000,   3.440000000000000,   6.980000000000000,  54.619999999999997,   1.180000000000000,   6.710000000000000,   4.910000000000000,  32.590000000000003,   1.250000000000000,   2.500000000000000,   0.200000000000000,   4.730000000000000, 119.339301899639267,  -2.461240905926703
South Sulawesi,27,   9.518853954000001,  10.411659660000000,   0.892805705000000,   0.055800357000000,UpperMiddle,2,1,29,  12.090000000000000,   1.650000000000000,   2.050000000000000,  35.000000000000000,  -3.710000000000000,  -8.260000000000000,  -0.190000000000000,   3.420000000000000,   8.740000000000000,  24.980000000000000,  14.050000000000001,  14.180000000000000,   8.820000000000000,  37.969999999999999,   1.430000000000000,   1.630000000000000,   2.500000000000000,   3.780000000000000, 120.170266920359893,  -3.705431009557877
Central Sulawesi,28,   9.396736947999999,  10.400802310000000,   1.004065366000000,   0.062754085000000,UpperMiddle,2,1,26,  18.879999999999999,   2.270000000000000,   2.530000000000000,  22.629999999999999, -13.670000000000000,  10.289999999999999,   4.510000000000000,   1.820000000000000,  -2.950000000000000,  42.500000000000000,   4.390000000000000,   8.010000000000000,   9.359999999999999,  35.740000000000002,   1.320000000000000,   0.260000000000000,   0.700000000000000,   4.650000000000000, 121.205079562536227,  -1.002906357411016
Southeast Sulawesi,29,   9.512147218000001,  10.370643380000001,   0.858496162000000,   0.053656010000000,UpperMiddle,2,1,30,  13.160000000000000,   1.780000000000000,   2.160000000000000,  37.219999999999999, -11.640000000000001,   7.510000000000000,  -1.080000000000000,   2.910000000000000,   2.310000000000000,  34.920000000000002,  13.500000000000000,   7.270000000000000,  10.090000000000000,  34.219999999999999,   1.330000000000000,   3.400000000000000,   0.520000000000000,   5.380000000000000, 122.082828530560946,  -4.140474687225654
North Sulawesi,30,   9.617736946999999,  10.382884430000001,   0.765147480000000,   0.047821717000000,UpperMiddle,2,1,25,  13.810000000000000,   2.080000000000000,   2.780000000000000,  45.450000000000003,  -1.430000000000000,  -2.240000000000000,   1.580000000000000,  -1.430000000000000,   3.520000000000000,  21.320000000000000,   7.260000000000000,   8.490000000000000,  15.010000000000000,  47.909999999999997,   1.250000000000000,   1.080000000000000,   0.830000000000000,  -0.960000000000000, 124.525521666088366,   1.266069187135874
West Sumatera,31,   9.615472091000001,  10.285615800000000,   0.670143704000000,   0.041883982000000,LowerMiddle,3,2,3,  14.520000000000000,   2.180000000000000,   2.640000000000000,  46.680000000000000,  -3.750000000000000,  -1.090000000000000,  -2.740000000000000,   1.910000000000000,   5.670000000000000,  26.440000000000001,   5.150000000000000,  13.340000000000000,   7.330000000000000,  47.740000000000002,   1.380000000000000,   1.910000000000000,   1.110000000000000,   4.150000000000000, 100.462396316389544,  -0.860827460352559
South Sumatera,32,   9.825255704000000,  10.435761510000001,   0.610505803000000,   0.038156613000000,LowerMiddle,3,2,7,  14.090000000000000,   2.610000000000000,   2.080000000000000,  35.469999999999999,  -1.000000000000000, -11.020000000000000,  -0.280000000000000,   3.340000000000000,   8.960000000000001,  18.730000000000000,  32.329999999999998,  19.199999999999999,   8.810000000000000,  20.930000000000000,   1.410000000000000,   2.390000000000000,   2.340000000000000,   1.430000000000000, 104.168983252958114,  -3.216580550101707
North Sumatera,33,   9.751617603000000,  10.439512980000000,   0.687895374000000,   0.042993461000000,LowerMiddle,3,2,2,   9.730000000000000,   1.670000000000000,   2.990000000000000,  50.850000000000001,  -4.720000000000000,  -0.100000000000000,  -4.740000000000000,   2.160000000000000,   7.410000000000000,  29.600000000000001,   1.420000000000000,  23.770000000000000,  10.630000000000001,  34.579999999999998,   1.520000000000000,   1.730000000000000,   4.170000000000000,   6.860000000000000,  99.057827237037131,   2.189644385533766
Yogyakarta,34,   9.524347870000000,  10.107815190000000,   0.583467320000000,   0.036466707000000,LowerMiddle,3,2,15,  10.260000000000000,   1.410000000000000,   6.660000000000000,  64.579999999999998,  -5.420000000000000,  -0.280000000000000,  -3.930000000000000,   2.790000000000000,   6.840000000000000,  14.010000000000000,   0.810000000000000,  16.800000000000001,   7.030000000000000,  61.350000000000001,   1.300000000000000,   2.940000000000000,   0.870000000000000,   5.290000000000000, 110.446630907070372,  -7.895079475041318
