hc2_2010,hc2_2011,hc2_2012,hc2_2013,hc2_2014,hc2_2015,hc2_2016,hc2_2017,hc2_2018,id
2.436372,2.436372,2.436372,2.436372,2.4735639,2.4735639,2.4885993,2.5548155,2.5897465,3211
1.8774791,1.8774791,1.9080657,1.9470005,1.9787196,1.9807192,2.0008259,2.0854194,2.0875268,3212
2.0582168,2.0938616,2.1279733,2.1539211,2.1868017,2.1890113,2.2179425,2.2746587,2.2769573,3213
2.3163903,2.3234193,2.3304701,2.3399043,2.3541272,2.3973165,2.4143257,2.4936311,2.4961512,3214
2.0896361,2.140908,2.2045424,2.2518003,2.2632005,2.2700684,2.300071,2.3948965,2.3973165,3215
2.436372,2.5548155,2.603873,2.6198578,2.6269934,2.6774905,2.7049408,2.7067807,2.7104645,3216
2.321074,2.3924787,2.399739,2.4070213,2.436372,2.4412985,2.4660804,2.4936311,2.5522363,3217
2.321074,2.321074,2.3234193,2.3163903,2.3257673,2.3281174,2.3304701,2.402164,2.4536581,3218
2.7870955,2.8214192,2.854224,2.9249578,2.9349194,2.9730844,2.9893022,2.9913356,2.9933705,3271
2.5138614,2.587986,2.6521218,2.6521218,2.6847832,2.7550621,2.7927868,2.8387392,2.8406701,3272
2.9974442,2.9994831,3.0035653,3.0076528,3.0364225,3.0384879,3.0509102,3.0529857,3.061301,3273
2.7569363,2.79849,2.8003936,2.8022985,2.8406701,2.8854475,2.9071116,2.9090891,2.911068,3274
2.9469182,3.0199492,3.0261161,3.0322957,3.0446928,3.0779998,3.0926859,3.124393,3.158572,3275
2.9449153,2.9771309,2.9974442,3.0199492,3.0509102,3.0779998,3.0884829,3.10533,3.1074424,3276
2.9994831,3.0096989,3.0220034,3.0675523,3.0926859,3.0926859,3.1159062,3.124393,3.1265182,3277
2.6003342,2.6091905,2.6198578,2.6377335,2.6503191,2.6593454,2.672034,2.7457108,2.7475786,3278
2.4216521,2.436372,2.4536581,2.4735639,2.5011985,2.5704474,2.5932708,2.6647761,2.6665888,3279
2.1474047,2.1495748,2.151747,2.1845939,2.1956542,2.2179425,2.2907975,2.2931123,2.2954295,3301
2.2723625,2.300071,2.3281174,2.3565059,2.387651,2.387651,2.4070213,2.4094536,2.4118884,3302
2.1387467,2.1626406,2.1868017,2.2404573,2.2769573,2.279258,2.2815614,2.2838669,2.3140519,3303
2.0582168,2.0582168,2.0602968,2.0623786,2.0707276,2.1279733,2.1474047,2.1495748,2.151747,3304
2.1365876,2.1539211,2.1560979,2.175786,2.2563534,2.3234193,2.3257673,2.3828328,2.3948965,3305
2.4070213,2.4216521,2.436372,2.4511812,2.4660804,2.471067,2.4735639,2.4810703,2.4835773,3306
2.0519898,2.0644627,2.0707276,2.0749147,2.1065888,2.1151168,2.117254,2.202317,2.2563534,3307
2.1912234,2.2518003,2.267777,2.2861748,2.3187308,2.3588872,2.4094536,2.4118884,2.4511812,3308
2.2000937,2.2067702,2.2112324,2.2246733,2.2427213,2.3375421,2.3541272,2.4192076,2.4462347,3309
2.3924787,2.3973165,2.4167652,2.4936311,2.5393801,2.587986,2.5985668,2.6003342,2.602103,3310
2.4735639,2.5445149,2.5756965,2.603873,2.6323578,2.6485174,2.6629646,2.6866095,2.7104645,3311
